22,60,11.106550,106.613027
22.2,62,11.107375,106.615472
22.6,57,11.108200,106.617917
22.5,61,11.109026,106.620362
22.1,55,11.109851,106.622807
22.8,53,11.110677,106.625252
22.9,52,11.111502,106.627697
23,57,11.112327,106.630142
22.7,64,11.113153,106.632587
23.2,67,11.113978,106.635032
23.8,70,11.114804,106.637477
23.9,69,11.115629,106.639922
25.1,64,11.116454,106.642367
25.9,71,11.117280,106.644812
27,72,11.118105,106.647257
28.3,76,11.118931,106.649702
29.5,75,11.115463,106.647676
30.2,72,11.116421,106.648026
30.8,79,11.113912,106.646350
31.4,77,11.111403,106.644674
31.8,80,11.108894,106.642999
31.9,81,11.106385,106.641323
31.7,75,11.103876,106.639647
32.4,72,11.101367,106.637971
33.5,64,11.098857,106.636296
33.6,61,11.096348,106.634620
33.4,57,11.093839,106.632944
33.9,63,11.091330,106.631268
34.1,65,11.088821,106.629593
33.8,66,11.086312,106.627917
33.5,70,11.085234,106.628739
34.2,78,11.083803,106.626241
34.5,81,11.081294,106.624566
34.1,85,11.082977,106.623796
33.3,84,11.084661,106.623027
32.9,83,11.086345,106.622258
32.2,86,11.088028,106.621488
31.7,79,11.089712,106.620719
31.1,75,11.091396,106.619950
29.6,76,11.093080,106.619181
28.9,72,11.094763,106.618411
28.5,67,11.096447,106.617642
27.7,69,11.098131,106.616873
26.3,68,11.099815,106.616104
25.4,65,11.101498,106.615334
24.2,62,11.103182,106.614565
23.3,64,11.104866,106.613796
22.6,61,11.106550,106.613027
